k,r,S_k_r,circle_geodesic_curvature_abs
-1.0,0.15,0.15056313,6.71659183
-1.0,0.38333,0.39279067,2.73523895
-1.0,0.61667,0.65650068,1.82214779
-1.0,0.85,0.95611596,1.44703253
-1.0,1.08333,1.30802305,1.25876106
-1.0,1.31667,1.73146842,1.15479765
-1.0,1.55,2.2496111,1.09434874
-1.0,1.78333,2.89078932,1.05814224
-1.0,2.01667,3.69007031,1.03606934
-1.0,2.25,4.69116831,1.02246759
0.0,0.15,0.15,6.66666667
0.0,0.38333,0.38333333,2.60869565
0.0,0.61667,0.61666667,1.62162162
0.0,0.85,0.85,1.17647059
0.0,1.08333,1.08333333,0.92307692
0.0,1.31667,1.31666667,0.75949367
0.0,1.55,1.55,0.64516129
0.0,1.78333,1.78333333,0.56074766
0.0,2.01667,2.01666667,0.49586777
0.0,2.25,2.25,0.44444444
1.0,0.15,0.14943813,6.61659151
1.0,0.38333,0.37401395,2.47964835
1.0,0.61667,0.57831901,1.41065865
1.0,0.85,0.75128041,0.87847778
1.0,1.08333,0.883524,0.53013375
1.0,1.31667,0.96788247,0.2597455
1.0,1.55,0.99978376,0.02079933
1.0,1.78333,0.9774989,0.21579615
1.0,2.01667,0.90223568,0.47797189
1.0,2.25,0.7780732,0.80734515
