n,degree,Lambda,fixed_point_forced_by_Lefschetz,same_degree_as_antipodal
1,-3,4,True,False
1,-2,3,True,False
1,-1,2,True,False
1,0,1,True,False
1,1,0,False,True
1,2,-1,True,False
1,3,-2,True,False
2,-3,-2,True,False
2,-2,-1,True,False
2,-1,0,False,True
2,0,1,True,False
2,1,2,True,False
2,2,3,True,False
2,3,4,True,False
3,-3,4,True,False
3,-2,3,True,False
3,-1,2,True,False
3,0,1,True,False
3,1,0,False,True
3,2,-1,True,False
3,3,-2,True,False
4,-3,-2,True,False
4,-2,-1,True,False
4,-1,0,False,True
4,0,1,True,False
4,1,2,True,False
4,2,3,True,False
4,3,4,True,False
