n,gift_wrap_h_12,gift_wrap_h_n_over_2,graham_n_log_n,output_sensitive_n_log_12
20,240,200,86.43856189774725,71.69925001442311
40,480,800,212.8771237954945,143.39850002884623
60,720,1800,354.41343573651113,215.09775004326937
80,960,3200,505.754247590989,286.79700005769246
100,1200,5000,664.3856189774724,358.49625007211563
120,1440,7200,828.8268714730223,430.19550008653874
140,1680,9800,998.0996223722952,501.89475010096186
160,1920,12800,1171.508495181978,573.5940001153849
180,2160,16200,1348.5335573393415,645.2932501298081
200,2400,20000,1528.7712379549448,716.9925001442313
220,2640,24200,1711.899136975425,788.6917501586544
240,2880,28800,1897.6537429460445,860.3910001730775
260,3120,33800,2085.8156313873983,932.0902501875006
280,3360,39200,2276.199244744591,1003.7895002019237
300,3600,45000,2468.6456071487646,1075.4887502163467
320,3840,51200,2663.0169903639558,1147.1880002307698
340,4080,57800,2859.192918286819,1218.8872502451932
360,4320,64800,3057.0671146786826,1290.5865002596163
380,4560,72200,3256.5451311657607,1362.2857502740394
400,4800,80000,3457.54247590989,1433.9850002884625
420,5040,88200,3659.9831174197716,1505.6842503028856
440,5280,96800,3863.79827395085,1577.3835003173087
460,5520,105800,4068.925423434413,1649.0827503317319
480,5760,115200,4275.307485892088,1720.782000346155
500,6000,125000,4482.892142331044,1792.481250360578
