space,degree,generator_count_for_display,note
S^{2m-1},2,0,template uses one generator in odd degree 2m-1
S^{2m},2,1,x in degree 2m
S^{2m},3,1,"for S^2, y in degree 3 with dy=x^2"
CP^m,2,1,x in degree 2
CP^m,5,1,example display for CP^2: y in degree 5 with dy=x^3
S^2 vee S^2,1,0,low-degree Sullivan-model count
S^2 vee S^2,2,2,low-degree Sullivan-model count
S^2 vee S^2,3,3,low-degree Sullivan-model count
S^2 vee S^2,4,2,low-degree Sullivan-model count
S^2 vee S^2,5,3,low-degree Sullivan-model count
S^2 vee S^2,6,6,low-degree Sullivan-model count
