t,x,symmetric_residual,determinant,min_eigenvalue
-0.8,-1.1,0.0,1.0,0.19204247982077888
-0.8,-0.825,0.0,1.0,0.19622783681845476
-0.8,-0.55,0.0,1.0,0.19933553061804793
-0.8,-0.275,0.0,1.0,0.2012498620883924
-0.8,0.0,0.0,1.0,0.20189651799465538
-0.8,0.275,0.0,1.0,0.2012498620883924
-0.8,0.55,0.0,1.0,0.19933553061804793
-0.8,0.825,0.0,1.0,0.19622783681845476
-0.8,1.1,0.0,1.0,0.19204247982077888
-0.6,-1.1,0.0,1.0,0.26905586354069055
-0.6,-0.825,0.0,1.0,0.2821545518776125
-0.6,-0.55,0.0,1.0,0.29239534950651674
