r,t,exp_alpha_H,exp_alpha_B,two_cosh_2A,in_big_cell
0.0,0.0,1.0,0.0,2.0,False
0.0,0.35,1.49,0.48999999999999994,2.49,True
0.0,0.9,4.24,3.24,5.24,True
0.4,0.0,1.3456000000000004,0.025600000000000005,2.665600000000001,True
0.4,0.35,1.8356000000000003,0.5156,3.1556000000000006,True
0.4,0.9,4.5856,3.2656,5.905600000000001,True
1.0,0.0,4.0,1.0,7.0,True
1.0,0.35,4.49,1.49,7.49,True
1.0,0.9,7.24,4.24,10.24,True
1.6,0.0,12.673600000000004,6.553600000000001,18.793600000000005,True
1.6,0.35,13.163600000000004,7.043600000000001,19.283600000000007,True
1.6,0.9,15.913600000000004,9.793600000000001,22.033600000000007,True
