x,y,status,crossings,inside_by_parity,inside_by_shapely,covered_by_shapely
-0.35,-0.25,outside,0,False,False,False
-0.05,-0.25,outside,0,False,False,False
0.25,-0.25,outside,0,False,False,False
0.55,-0.25,outside,0,False,False,False
0.85,-0.25,outside,0,False,False,False
1.15,-0.25,outside,0,False,False,False
1.45,-0.25,outside,0,False,False,False
1.75,-0.25,outside,0,False,False,False
2.05,-0.25,outside,0,False,False,False
2.35,-0.25,outside,0,False,False,False
2.65,-0.25,outside,0,False,False,False
2.95,-0.25,outside,0,False,False,False
3.25,-0.25,outside,0,False,False,False
3.55,-0.25,outside,0,False,False,False
3.85,-0.25,outside,0,False,False,False
4.15,-0.25,outside,0,False,False,False
4.45,-0.25,outside,0,False,False,False
4.75,-0.25,outside,0,False,False,False
5.05,-0.25,outside,0,False,False,False
5.35,-0.25,outside,0,False,False,False
-0.35,0.0167,outside,2,False,False,False
-0.05,0.0167,outside,2,False,False,False
0.25,0.0167,inside,1,True,True,True
0.55,0.0167,inside,1,True,True,True
0.85,0.0167,inside,1,True,True,True
1.15,0.0167,inside,1,True,True,True
1.45,0.0167,inside,1,True,True,True
1.75,0.0167,inside,1,True,True,True
2.05,0.0167,inside,1,True,True,True
2.35,0.0167,inside,1,True,True,True
2.65,0.0167,inside,1,True,True,True
2.95,0.0167,inside,1,True,True,True
3.25,0.0167,inside,1,True,True,True
3.55,0.0167,inside,1,True,True,True
3.85,0.0167,inside,1,True,True,True
4.15,0.0167,inside,1,True,True,True
4.45,0.0167,inside,1,True,True,True
4.75,0.0167,inside,1,True,True,True
5.05,0.0167,outside,0,False,False,False
5.35,0.0167,outside,0,False,False,False
-0.35,0.2833,outside,2,False,False,False
-0.05,0.2833,outside,2,False,False,False
0.25,0.2833,inside,1,True,True,True
0.55,0.2833,inside,1,True,True,True
0.85,0.2833,inside,1,True,True,True
1.15,0.2833,inside,1,True,True,True
1.45,0.2833,inside,1,True,True,True
1.75,0.2833,inside,1,True,True,True
2.05,0.2833,inside,1,True,True,True
2.35,0.2833,inside,1,True,True,True
2.65,0.2833,inside,1,True,True,True
2.95,0.2833,inside,1,True,True,True
3.25,0.2833,inside,1,True,True,True
3.55,0.2833,inside,1,True,True,True
3.85,0.2833,inside,1,True,True,True
4.15,0.2833,inside,1,True,True,True
4.45,0.2833,inside,1,True,True,True
4.75,0.2833,inside,1,True,True,True
5.05,0.2833,outside,0,False,False,False
5.35,0.2833,outside,0,False,False,False
-0.35,0.55,outside,2,False,False,False
-0.05,0.55,outside,2,False,False,False
0.25,0.55,inside,1,True,True,True
0.55,0.55,inside,1,True,True,True
0.85,0.55,inside,1,True,True,True
1.15,0.55,inside,1,True,True,True
1.45,0.55,inside,1,True,True,True
1.75,0.55,inside,1,True,True,True
2.05,0.55,inside,1,True,True,True
2.35,0.55,inside,1,True,True,True
2.65,0.55,inside,1,True,True,True
2.95,0.55,inside,1,True,True,True
3.25,0.55,inside,1,True,True,True
3.55,0.55,inside,1,True,True,True
