patch,theta,v_or_radius,E,F,G,area_density
unit sphere latitude-longitude,-1.1,,1.0,0.0,0.2057494413723271,0.4535961214255773
Archimedes cylinder coordinates,-1.1,,0.2057494413723271,0.0,1.0,0.4535961214255773
unit sphere latitude-longitude,-0.55,,1.0,0.0,0.7267980607127886,0.8525245220595057
Archimedes cylinder coordinates,-0.55,,0.7267980607127886,0.0,1.0,0.8525245220595057
unit sphere latitude-longitude,0.0,,1.0,0.0,1.0,1.0
Archimedes cylinder coordinates,0.0,,1.0,0.0,1.0,1.0
unit sphere latitude-longitude,0.55,,1.0,0.0,0.7267980607127886,0.8525245220595057
Archimedes cylinder coordinates,0.55,,0.7267980607127886,0.0,1.0,0.8525245220595057
unit sphere latitude-longitude,1.1,,1.0,0.0,0.2057494413723271,0.4535961214255773
Archimedes cylinder coordinates,1.1,,0.2057494413723271,0.0,1.0,0.4535961214255773
generalized cone normalized form,,0.5,0.25,0.0,1.0,0.5
generalized cone normalized form,,1.0,1.0,0.0,1.0,1.0
generalized cone normalized form,,1.8,3.24,0.0,1.0,1.8
plane and cylinder wrap,,,1.0,0.0,1.0,1.0
