experiment,parameter,quantity_a,value_a,quantity_b,value_b,residual
sphere latitude curvature,theta=-50 deg,kappa_n outward,-1.0,kappa_g signed,-1.19175359259421,0.0
sphere latitude curvature,theta=-25 deg,kappa_n outward,-1.0,kappa_g signed,-0.4663076581549986,8.326672684688674e-17
sphere latitude curvature,theta=0 deg,kappa_n outward,-1.0,kappa_g signed,0.0,0.0
sphere latitude curvature,theta=25 deg,kappa_n outward,-1.0,kappa_g signed,0.4663076581549986,8.326672684688674e-17
sphere latitude curvature,theta=50 deg,kappa_n outward,-1.0,kappa_g signed,1.19175359259421,0.0
paraboloid direction normal curvature,"angle=0 deg at u=0.35, v=-0.25","II(v,v)/I(v,v)",1.0175812665488637,metric length squared,1.49,2.406894532480171e-18
paraboloid direction normal curvature,"angle=30 deg at u=0.35, v=-0.25","II(v,v)/I(v,v)",1.3454681428269957,metric length squared,1.1268911086754463,2.406894532480171e-18
paraboloid direction normal curvature,"angle=60 deg at u=0.35, v=-0.25","II(v,v)/I(v,v)",1.5058193225604557,metric length squared,1.0068911086754464,2.406894532480171e-18
paraboloid direction normal curvature,"angle=90 deg at u=0.35, v=-0.25","II(v,v)/I(v,v)",1.2129568697262454,metric length squared,1.25,2.406894532480171e-18
paraboloid direction normal curvature,"angle=120 deg at u=0.35, v=-0.25","II(v,v)/I(v,v)",0.9399217221553037,metric length squared,1.6131088913245533,2.406894532480171e-18
paraboloid direction normal curvature,"angle=150 deg at u=0.35, v=-0.25","II(v,v)/I(v,v)",0.8748417913885561,metric length squared,1.7331088913245536,2.406894532480171e-18
parallel transport around latitude,theta=0 deg,endpoint dot path tangent,1.0,max norm error,1.1102230246251565e-16,2.482534153247273e-16
parallel transport around latitude,theta=20 deg,endpoint dot path tangent,-0.5465003434524393,max norm error,2.3750668098898586e-11,2.482534153247273e-16
parallel transport around latitude,theta=35 deg,endpoint dot path tangent,-0.8950315525236269,max norm error,4.0859093886069786e-11,2.3263411494723067e-16
parallel transport around latitude,theta=50 deg,endpoint dot path tangent,0.10063954538447813,max norm error,5.683165049674699e-11,2.8744111503786724e-16
