unit_length,segment_a_length,segment_b_length,a_label,b_label,product_length,product_label,label_product,addition_length,unit_identity_error,label_product_error
0.75,1.2,0.9,1.5999999999999999,1.2,1.4400000000000002,1.9200000000000002,1.9199999999999997,2.1,0.0,4.440892098500626e-16
0.75,1.2,1.6,1.5999999999999999,2.1333333333333333,2.56,3.4133333333333336,3.413333333333333,2.8,0.0,4.440892098500626e-16
0.75,1.2,2.1,1.5999999999999999,2.8000000000000003,3.36,4.4799999999999995,4.48,3.3,0.0,8.881784197001252e-16
0.75,1.8,0.9,2.4,1.2,2.16,2.8800000000000003,2.88,2.7,0.0,4.440892098500626e-16
0.75,1.8,1.6,2.4,2.1333333333333333,3.8400000000000003,5.12,5.12,3.4000000000000004,0.0,0.0
0.75,1.8,2.1,2.4,2.8000000000000003,5.04,6.72,6.720000000000001,3.9000000000000004,0.0,8.881784197001252e-16
0.75,2.4,0.9,3.1999999999999997,1.2,2.8800000000000003,3.8400000000000003,3.8399999999999994,3.3,0.0,8.881784197001252e-16
0.75,2.4,1.6,3.1999999999999997,2.1333333333333333,5.12,6.826666666666667,6.826666666666666,4.0,0.0,8.881784197001252e-16
0.75,2.4,2.1,3.1999999999999997,2.8000000000000003,6.72,8.959999999999999,8.96,4.5,0.0,1.7763568394002505e-15
1.0,1.2,0.9,1.2,0.9,1.08,1.08,1.08,2.1,0.0,0.0
1.0,1.2,1.6,1.2,1.6,1.92,1.92,1.92,2.8,0.0,0.0
1.0,1.2,2.1,1.2,2.1,2.52,2.52,2.52,3.3,0.0,0.0
1.0,1.8,0.9,1.8,0.9,1.62,1.62,1.62,2.7,0.0,0.0
1.0,1.8,1.6,1.8,1.6,2.8800000000000003,2.8800000000000003,2.8800000000000003,3.4000000000000004,0.0,0.0
1.0,1.8,2.1,1.8,2.1,3.7800000000000002,3.7800000000000002,3.7800000000000002,3.9000000000000004,0.0,0.0
1.0,2.4,0.9,2.4,0.9,2.16,2.16,2.16,3.3,0.0,0.0
1.0,2.4,1.6,2.4,1.6,3.84,3.84,3.84,4.0,0.0,0.0
1.0,2.4,2.1,2.4,2.1,5.04,5.04,5.04,4.5,0.0,0.0
1.25,1.2,0.9,0.96,0.72,0.8640000000000001,0.6912,0.6911999999999999,2.1,0.0,1.1102230246251565e-16
1.25,1.2,1.6,0.96,1.28,1.536,1.2288000000000001,1.2288,2.8,0.0,2.220446049250313e-16
1.25,1.2,2.1,0.96,1.6800000000000002,2.016,1.6128,1.6128,3.3,0.0,0.0
1.25,1.8,0.9,1.44,0.72,1.296,1.0368,1.0368,2.7,0.0,0.0
1.25,1.8,1.6,1.44,1.28,2.3040000000000003,1.8432000000000002,1.8432,3.4000000000000004,0.0,2.220446049250313e-16
1.25,1.8,2.1,1.44,1.6800000000000002,3.024,2.4192,2.4192,3.9000000000000004,0.0,0.0
1.25,2.4,0.9,1.92,0.72,1.7280000000000002,1.3824,1.3823999999999999,3.3,0.0,2.220446049250313e-16
1.25,2.4,1.6,1.92,1.28,3.072,2.4576000000000002,2.4576,4.0,0.0,4.440892098500626e-16
1.25,2.4,2.1,1.92,1.6800000000000002,4.032,3.2256,3.2256,4.5,0.0,0.0
1.5,1.2,0.9,0.7999999999999999,0.6,0.7200000000000001,0.48000000000000004,0.4799999999999999,2.1,0.0,1.1102230246251565e-16
1.5,1.2,1.6,0.7999999999999999,1.0666666666666667,1.28,0.8533333333333334,0.8533333333333333,2.8,0.0,1.1102230246251565e-16
1.5,1.2,2.1,0.7999999999999999,1.4000000000000001,1.68,1.1199999999999999,1.12,3.3,0.0,2.220446049250313e-16
1.5,1.8,0.9,1.2,0.6,1.08,0.7200000000000001,0.72,2.7,0.0,1.1102230246251565e-16
1.5,1.8,1.6,1.2,1.0666666666666667,1.9200000000000002,1.28,1.28,3.4000000000000004,0.0,0.0
1.5,1.8,2.1,1.2,1.4000000000000001,2.52,1.68,1.6800000000000002,3.9000000000000004,0.0,2.220446049250313e-16
1.5,2.4,0.9,1.5999999999999999,0.6,1.4400000000000002,0.9600000000000001,0.9599999999999999,3.3,0.0,2.220446049250313e-16
1.5,2.4,1.6,1.5999999999999999,1.0666666666666667,2.56,1.7066666666666668,1.7066666666666666,4.0,0.0,2.220446049250313e-16
1.5,2.4,2.1,1.5999999999999999,1.4000000000000001,3.36,2.2399999999999998,2.24,4.5,0.0,4.440892098500626e-16
