n,phi_n,compass_constructible,marked_ruler_constructible,marked_only,phi_prime_factors
3,2,True,True,False,2
4,2,True,True,False,2
5,4,True,True,False,2
6,2,True,True,False,2
7,6,False,True,True,2*3
8,4,True,True,False,2
9,6,False,True,True,2*3
10,4,True,True,False,2
11,10,False,False,False,2*5
12,4,True,True,False,2
13,12,False,True,True,2*3
14,6,False,True,True,2*3
15,8,True,True,False,2
16,8,True,True,False,2
17,16,True,True,False,2
18,6,False,True,True,2*3
19,18,False,True,True,2*3
20,8,True,True,False,2
21,12,False,True,True,2*3
22,10,False,False,False,2*5
23,22,False,False,False,2*11
24,8,True,True,False,2
25,20,False,False,False,2*5
26,12,False,True,True,2*3
27,18,False,True,True,2*3
28,12,False,True,True,2*3
29,28,False,False,False,2*7
30,8,True,True,False,2
31,30,False,False,False,2*3*5
32,16,True,True,False,2
33,20,False,False,False,2*5
34,16,True,True,False,2
35,24,False,True,True,2*3
36,12,False,True,True,2*3
37,36,False,True,True,2*3
38,18,False,True,True,2*3
39,24,False,True,True,2*3
40,16,True,True,False,2
41,40,False,False,False,2*5
42,12,False,True,True,2*3
43,42,False,False,False,2*3*7
44,20,False,False,False,2*5
45,24,False,True,True,2*3
46,22,False,False,False,2*11
47,46,False,False,False,2*23
48,16,True,True,False,2
49,42,False,False,False,2*3*7
50,20,False,False,False,2*5
51,32,True,True,False,2
52,24,False,True,True,2*3
53,52,False,False,False,2*13
54,18,False,True,True,2*3
55,40,False,False,False,2*5
56,24,False,True,True,2*3
57,36,False,True,True,2*3
58,28,False,False,False,2*7
59,58,False,False,False,2*29
60,16,True,True,False,2
61,60,False,False,False,2*3*5
62,30,False,False,False,2*3*5
63,36,False,True,True,2*3
64,32,True,True,False,2
65,48,False,True,True,2*3
66,20,False,False,False,2*5
67,66,False,False,False,2*3*11
68,32,True,True,False,2
69,44,False,False,False,2*11
70,24,False,True,True,2*3
71,70,False,False,False,2*5*7
72,24,False,True,True,2*3
73,72,False,True,True,2*3
74,36,False,True,True,2*3
75,40,False,False,False,2*5
76,36,False,True,True,2*3
77,60,False,False,False,2*3*5
78,24,False,True,True,2*3
79,78,False,False,False,2*3*13
80,32,True,True,False,2
81,54,False,True,True,2*3
82,40,False,False,False,2*5
83,82,False,False,False,2*41
84,24,False,True,True,2*3
85,64,True,True,False,2
86,42,False,False,False,2*3*7
87,56,False,False,False,2*7
88,40,False,False,False,2*5
89,88,False,False,False,2*11
90,24,False,True,True,2*3
