name,vertex_config,kind,V,faces_at_vertex,defect_over_pi,total_defect_over_pi,positive_defect
tetrahedron,"(3, 3, 3)",Platonic,4,3,1.0,4.0,True
cube,"(4, 4, 4)",Platonic,8,3,0.5,4.0,True
octahedron,"(3, 3, 3, 3)",Platonic,6,4,0.6666666666666667,4.000000000000001,True
dodecahedron,"(5, 5, 5)",Platonic,20,3,0.2,4.0,True
icosahedron,"(3, 3, 3, 3, 3)",Platonic,12,5,0.33333333333333354,4.000000000000003,True
n-gonal prism,"(4, 4, 6)",Prism family sample n=6,12,3,0.33333333333333354,4.000000000000003,True
n-gonal antiprism,"(3, 3, 3, 6)",Antiprism family sample n=6,12,4,0.33333333333333354,4.000000000000003,True
truncated tetrahedron,"(3, 6, 6)",Truncated,12,3,0.33333333333333354,4.000000000000003,True
truncated cube,"(3, 8, 8)",Truncated,24,3,0.16666666666666677,4.000000000000003,True
truncated octahedron,"(4, 6, 6)",Truncated,24,3,0.16666666666666677,4.000000000000003,True
truncated dodecahedron,"(3, 10, 10)",Truncated,60,3,0.06666666666666676,4.000000000000005,True
truncated icosahedron,"(5, 6, 6)",Truncated,60,3,0.06666666666666676,4.000000000000005,True
cuboctahedron,"(3, 4, 3, 4)",Rectified,12,4,0.33333333333333354,4.000000000000003,True
icosidodecahedron,"(3, 5, 3, 5)",Rectified,30,4,0.13333333333333353,4.000000000000005,True
rhombicuboctahedron,"(3, 4, 4, 4)",Expanded,24,4,0.16666666666666677,4.000000000000003,True
rhombicosidodecahedron,"(3, 4, 5, 4)",Expanded,60,4,0.06666666666666676,4.000000000000005,True
truncated cuboctahedron,"(4, 6, 8)",Truncated,48,3,0.08333333333333325,3.9999999999999956,True
truncated icosidodecahedron,"(4, 6, 10)",Truncated,120,3,0.03333333333333352,4.000000000000022,True
snub cube,"(3, 3, 3, 3, 4)",Snub,24,5,0.16666666666666677,4.000000000000003,True
snub dodecahedron,"(3, 3, 3, 3, 5)",Snub,60,5,0.06666666666666676,4.000000000000005,True
