check,concept,value
ambient_fill_nonzero,surface shading invariant,True
blinn_phong_half_width_decreases,surface shading invariant,True
combined_shading_max,surface shading invariant,0.7540775871471324
cosine_clamp_min,surface shading invariant,0.0
inverse_square_double_distance_ratio,surface shading invariant,0.25
lab_response_max,surface shading invariant,1.0
lab_response_min,surface shading invariant,0.0
lambert_ndotl_range,surface shading invariant,"[0.0, 0.9999929384431465]"
lambert_view_independent,surface shading invariant,True
raw_dot_has_negative_values,surface shading invariant,True
safe_dot_nonnegative,surface shading invariant,True
unnormalized_dot_exceeds_one,surface shading invariant,True
