check,concept,value
camera_basis_determinant,viewing matrix invariant,0.9999999999999997
camera_basis_dot_max,viewing matrix invariant,3.3306690738754696e-16
camera_eye_maps_to_origin_norm,viewing matrix invariant,0.0
fov_half_height_60deg,viewing matrix invariant,0.5773502691896257
fov_width_monotone_in_angle,viewing matrix invariant,True
fov_width_monotone_in_aspect,viewing matrix invariant,True
homogeneous_scalar_equivalence_residual,viewing matrix invariant,0.0
line_homogeneous_w_keeps_sign,viewing matrix invariant,True
line_preservation_area_residual_max,viewing matrix invariant,5.551115123125783e-17
line_projective_parameter_monotone,viewing matrix invariant,True
orthographic_corner_map,viewing matrix invariant,"[-1.0, -1.0, -0.9999999999999998]"
orthographic_near_corner_map,viewing matrix invariant,"[1.0, 1.0, 1.0]"
perspective_depth_monotone,viewing matrix invariant,True
perspective_far_corner_residual,viewing matrix invariant,3.3306690738754696e-16
perspective_near_corner_residual,viewing matrix invariant,2.220446049250313e-16
perspective_product_order,viewing matrix invariant,Mvp Morth P Mcam
pipeline_stage_count,viewing matrix invariant,5
projective_square_parallelism_changes,viewing matrix invariant,False
viewport_lower_left,viewing matrix invariant,"[-0.5, -0.5]"
viewport_upper_right,viewing matrix invariant,"[639.5, 359.5]"
