check,concept,value
backface_test_front_triangle_not_rejected,graphics pipeline invariant,True
barycentric_color_range_ok,graphics pipeline invariant,True
barycentric_weight_sum_error,graphics pipeline invariant,2.220446049250313e-16
clipped_all_inside_unit_square,graphics pipeline invariant,True
clipped_vertex_count,graphics pipeline invariant,9
naive_screen_interp_max_error,graphics pipeline invariant,0.3333291140842753
per_fragment_detects_hidden_highlight,graphics pipeline invariant,True
perspective_correct_improves_error,graphics pipeline invariant,True
perspective_correct_max_error,graphics pipeline invariant,2.220446049250313e-16
pipeline_contracts_named,graphics pipeline invariant,True
pipeline_stage_count,graphics pipeline invariant,5
raster_fragment_count,graphics pipeline invariant,23
shared_edge_exactly_once_count,graphics pipeline invariant,25
shared_edge_no_double_draws,graphics pipeline invariant,True
shared_edge_no_holes_in_square_samples,graphics pipeline invariant,True
shared_edge_samples_owned_by_a,graphics pipeline invariant,5
sphere_cull_overlap_not_rejected,graphics pipeline invariant,True
sphere_cull_reject_region_nonempty,graphics pipeline invariant,True
supersampling_has_fractional_coverage,graphics pipeline invariant,True
zbuffer_bin_width_increases,graphics pipeline invariant,True
zbuffer_front_replacements,graphics pipeline invariant,1462
zbuffer_front_wins_overlap,graphics pipeline invariant,True
zbuffer_visible_pixels,graphics pipeline invariant,2216
