check,concept,value
anisotropic_far_gradient_energy,texture mapping invariant,0.15354450343803325
bump_changes_lighting_mean_abs_delta,texture mapping invariant,0.13529233228669652
cubemap_all_faces_hit,texture mapping invariant,True
cubemap_face_count,texture mapping invariant,6
diagnostic_texture_channel_std_min,texture mapping invariant,0.2157841806769278
displacement_height_range,texture mapping invariant,0.24412990431227954
displacement_profile_peak_to_peak,texture mapping invariant,0.09506833754156749
environment_map_bright_sun_contrast,texture mapping invariant,0.571955939241277
environment_reflection_unit_max_error,texture mapping invariant,3.3306690738754696e-16
environment_uv_max,texture mapping invariant,0.9993807231911181
environment_uv_min,texture mapping invariant,0.0006192768088819653
footprint_lod_max,texture mapping invariant,5.17365561963675
footprint_lod_min,texture mapping invariant,0.9733701601173729
latlong_pole_to_equator_stretch_ratio,texture mapping invariant,999.9816322582864
mipmap_last_level_shape,texture mapping invariant,"[1, 1]"
mipmap_level_count,texture mapping invariant,9
mipmap_mean_preservation_error,texture mapping invariant,1.7130741269966165e-13
mipmap_reduces_far_field_gradient_energy,texture mapping invariant,True
normal_map_unit_length_max_error,texture mapping invariant,2.220446049250313e-16
pcf_has_fractional_boundary_values,texture mapping invariant,True
pcf_max,texture mapping invariant,1.0
pcf_min,texture mapping invariant,0.0
perspective_correct_mask_pixels,texture mapping invariant,44426
perspective_correct_max_uv_error_vs_affine,texture mapping invariant,1.7385328319488689
perspective_correct_mean_uv_error_vs_affine,texture mapping invariant,0.93624808640984
perspective_correct_nonzero_error,texture mapping invariant,True
planar_projection_closed_surface_collision_error,texture mapping invariant,0.0
point_far_gradient_energy,texture mapping invariant,0.34153784531749765
procedural_noise_finite,texture mapping invariant,True
procedural_noise_max,texture mapping invariant,0.5353743423341173
procedural_noise_min,texture mapping invariant,-0.4227917220601956
repeat_mode_periodic_error,texture mapping invariant,0.0
seam_bad_u_path_length,texture mapping invariant,0.9199999999999999
seam_duplicate_same_3d_position_different_u,texture mapping invariant,True
seam_good_unwrapped_path_length,texture mapping invariant,0.08000000000000007
shadow_bias_lit_fraction_on_lit_region,texture mapping invariant,1.0
shadow_bias_shadow_fraction_under_blocker,texture mapping invariant,1.0
shadow_no_bias_lit_fraction_on_lit_region,texture mapping invariant,0.0
texture_lookup_sample_count,texture mapping invariant,4
texture_lookup_uv_max,texture mapping invariant,0.8492
texture_lookup_uv_min,texture mapping invariant,0.20299999999999999
texture_transform_matrix_det,texture mapping invariant,4.108
trilinear_far_gradient_energy,texture mapping invariant,0.10552699972527282
turbulence_amplitudes_strictly_decrease,texture mapping invariant,True
turbulence_component_variance_decreases_after_first,texture mapping invariant,True
turbulent_stripe_std,texture mapping invariant,0.34976559416026065
wrapping_clamp_corner_matches_edge,texture mapping invariant,0.0
wrapping_repeat_periodic_error,texture mapping invariant,4.907185768843192e-14
