estimate,method,sample_count,trial
3.4983020884405254,uniform hemisphere,96,0
3.141592653589793,cosine-weighted hemisphere,96,0
3.141592653589793,jittered cosine warp,81,0
3.519355069074077,uniform hemisphere,96,1
3.141592653589793,cosine-weighted hemisphere,96,1
3.141592653589793,jittered cosine warp,81,1
2.793452251223639,uniform hemisphere,96,2
3.141592653589793,cosine-weighted hemisphere,96,2
3.141592653589793,jittered cosine warp,81,2
2.9230521102776765,uniform hemisphere,96,3
3.141592653589793,cosine-weighted hemisphere,96,3
3.141592653589793,jittered cosine warp,81,3
3.0057079545216463,uniform hemisphere,96,4
3.141592653589793,cosine-weighted hemisphere,96,4
3.141592653589793,jittered cosine warp,81,4
2.7829986189245086,uniform hemisphere,96,5
3.141592653589793,cosine-weighted hemisphere,96,5
3.141592653589793,jittered cosine warp,81,5
2.6692580891013176,uniform hemisphere,96,6
3.141592653589793,cosine-weighted hemisphere,96,6
3.141592653589793,jittered cosine warp,81,6
3.0688803973003935,uniform hemisphere,96,7
3.141592653589793,cosine-weighted hemisphere,96,7
3.141592653589793,jittered cosine warp,81,7
3.2484803842808447,uniform hemisphere,96,8
3.141592653589793,cosine-weighted hemisphere,96,8
3.141592653589793,jittered cosine warp,81,8
3.0117404439520143,uniform hemisphere,96,9
3.141592653589793,cosine-weighted hemisphere,96,9
3.141592653589793,jittered cosine warp,81,9
3.1569031193012784,uniform hemisphere,96,10
3.141592653589793,cosine-weighted hemisphere,96,10
3.141592653589793,jittered cosine warp,81,10
3.1205580521199967,uniform hemisphere,96,11
3.141592653589793,cosine-weighted hemisphere,96,11
3.141592653589793,jittered cosine warp,81,11
3.2797513114846013,uniform hemisphere,96,12
3.141592653589793,cosine-weighted hemisphere,96,12
3.141592653589793,jittered cosine warp,81,12
3.4998099332969232,uniform hemisphere,96,13
3.141592653589793,cosine-weighted hemisphere,96,13
3.141592653589793,jittered cosine warp,81,13
3.004652947057862,uniform hemisphere,96,14
3.141592653589793,cosine-weighted hemisphere,96,14
3.141592653589793,jittered cosine warp,81,14
3.0042346078239786,uniform hemisphere,96,15
3.141592653589793,cosine-weighted hemisphere,96,15
3.141592653589793,jittered cosine warp,81,15
3.0545293526858788,uniform hemisphere,96,16
3.141592653589793,cosine-weighted hemisphere,96,16
3.141592653589793,jittered cosine warp,81,16
2.901058907175706,uniform hemisphere,96,17
3.141592653589793,cosine-weighted hemisphere,96,17
3.141592653589793,jittered cosine warp,81,17
3.064616542949052,uniform hemisphere,96,18
3.141592653589793,cosine-weighted hemisphere,96,18
3.141592653589793,jittered cosine warp,81,18
3.056746413540606,uniform hemisphere,96,19
3.141592653589793,cosine-weighted hemisphere,96,19
3.141592653589793,jittered cosine warp,81,19
2.74656789167695,uniform hemisphere,96,20
3.141592653589793,cosine-weighted hemisphere,96,20
3.141592653589793,jittered cosine warp,81,20
3.0011677198321727,uniform hemisphere,96,21
3.141592653589793,cosine-weighted hemisphere,96,21
3.141592653589793,jittered cosine warp,81,21
3.5179005807088095,uniform hemisphere,96,22
3.141592653589793,cosine-weighted hemisphere,96,22
3.141592653589793,jittered cosine warp,81,22
3.0199775192871763,uniform hemisphere,96,23
3.141592653589793,cosine-weighted hemisphere,96,23
3.141592653589793,jittered cosine warp,81,23
3.135439095248719,uniform hemisphere,96,24
3.141592653589793,cosine-weighted hemisphere,96,24
3.141592653589793,jittered cosine warp,81,24
2.828609500933967,uniform hemisphere,96,25
3.141592653589793,cosine-weighted hemisphere,96,25
3.141592653589793,jittered cosine warp,81,25
3.0930867880811426,uniform hemisphere,96,26
3.141592653589793,cosine-weighted hemisphere,96,26
3.141592653589793,jittered cosine warp,81,26
3.6149169431856634,uniform hemisphere,96,27
3.141592653589793,cosine-weighted hemisphere,96,27
3.141592653589793,jittered cosine warp,81,27
2.94298478052538,uniform hemisphere,96,28
3.141592653589793,cosine-weighted hemisphere,96,28
3.141592653589793,jittered cosine warp,81,28
3.1744466205405852,uniform hemisphere,96,29
3.141592653589793,cosine-weighted hemisphere,96,29
3.141592653589793,jittered cosine warp,81,29
3.104388547654333,uniform hemisphere,96,30
3.141592653589793,cosine-weighted hemisphere,96,30
3.141592653589793,jittered cosine warp,81,30
3.1804292260292484,uniform hemisphere,96,31
3.141592653589793,cosine-weighted hemisphere,96,31
3.141592653589793,jittered cosine warp,81,31
3.085071137656611,uniform hemisphere,96,32
3.141592653589793,cosine-weighted hemisphere,96,32
3.141592653589793,jittered cosine warp,81,32
3.351079232311038,uniform hemisphere,96,33
3.141592653589793,cosine-weighted hemisphere,96,33
3.141592653589793,jittered cosine warp,81,33
3.005948228188053,uniform hemisphere,96,34
3.141592653589793,cosine-weighted hemisphere,96,34
3.141592653589793,jittered cosine warp,81,34
3.3472353737668175,uniform hemisphere,96,35
3.141592653589793,cosine-weighted hemisphere,96,35
3.141592653589793,jittered cosine warp,81,35
3.441137228316004,uniform hemisphere,96,36
3.141592653589793,cosine-weighted hemisphere,96,36
3.141592653589793,jittered cosine warp,81,36
3.0448970595426985,uniform hemisphere,96,37
3.141592653589793,cosine-weighted hemisphere,96,37
3.141592653589793,jittered cosine warp,81,37
3.35615211084073,uniform hemisphere,96,38
3.141592653589793,cosine-weighted hemisphere,96,38
3.141592653589793,jittered cosine warp,81,38
3.0071297048340804,uniform hemisphere,96,39
