check,concept,value
arc_length_sampling_reduces_step_cv,curve invariant,True
arc_length_table_monotone,curve invariant,True
bernstein_partition_unity_symbolic,curve invariant,True
bezier_inside_control_bbox,curve invariant,True
bspline_locality_at_most_k,curve invariant,True
bspline_max_active_basis_count,curve invariant,3
bspline_partition_unity_max_error,curve invariant,1.1102230246251565e-16
clamped_bspline_basis_sum_error,curve invariant,2.220446049250313e-16
clamped_bspline_start_interpolates,curve invariant,True
continuity_c0_position_zero,curve invariant,True
continuity_c1_derivative_small,curve invariant,True
continuity_g1_direction_small,curve invariant,True
curve_lab_trace_count,curve invariant,4
de_casteljau_bernstein_residual,curve invariant,1.1102230246251565e-16
equal_s_step_cv,curve invariant,0.24757916448558243
equal_u_step_cv,curve invariant,0.5648097280861395
hermite_position_basis_sum_symbolic,curve invariant,True
implicit_circle_parametric_residual,curve invariant,2.220446049250313e-16
lagrange_partition_unity_symbolic,curve invariant,True
nurbs_more_accurate_than_plain_quadratic,curve invariant,True
nurbs_quarter_circle_radius_residual,curve invariant,3.3306690738754696e-16
plain_quadratic_circle_radius_residual,curve invariant,0.12499720362633715
procedural_curve_sample_count,curve invariant,65
