left,right,gp,selection,target_grade,recovered,direct,matches_direct
e1,e2,e1^e2,outer,2,e1^e2,e1^e2,True
e1,e2,e1^e2,left_contract,0,0,0,True
e1,e2,e1^e2,right_contract,0,0,0,True
e1,e2,e1^e2,scalar_product,0,0,0,True
a,e12,e2 + 2e1^e2^e3,outer,3,2e1^e2^e3,2e1^e2^e3,True
a,e12,e2 + 2e1^e2^e3,left_contract,1,e2,e2,True
a,e12,e2 + 2e1^e2^e3,right_contract,-1,0,0,True
a,e12,e2 + 2e1^e2^e3,scalar_product,0,0,0,True
e12,a,-e2 + 2e1^e2^e3,outer,3,2e1^e2^e3,2e1^e2^e3,True
e12,a,-e2 + 2e1^e2^e3,left_contract,-1,0,0,True
e12,a,-e2 + 2e1^e2^e3,right_contract,1,-e2,-e2,True
e12,a,-e2 + 2e1^e2^e3,scalar_product,0,0,0,True
e12,e23,e1^e3,outer,4,0,0,True
e12,e23,e1^e3,left_contract,0,0,0,True
e12,e23,e1^e3,right_contract,0,0,0,True
e12,e23,e1^e3,scalar_product,0,0,0,True
2,e3,2e3,outer,1,2e3,2e3,True
2,e3,2e3,left_contract,1,2e3,2e3,True
2,e3,2e3,right_contract,-1,0,0,True
2,e3,2e3,scalar_product,0,0,0,True
I,e1,e2^e3,outer,4,0,0,True
I,e1,e2^e3,left_contract,-2,0,0,True
I,e1,e2^e3,right_contract,2,e2^e3,e2^e3,True
I,e1,e2^e3,scalar_product,0,0,0,True
