name,grade,square,reverse,grade_involution,clifford_conjugate
1,0,1.0,1,1,1
e1,1,1.0,e1,-e1,-e1
e2,1,1.0,e2,-e2,-e2
e3,1,1.0,e3,-e3,-e3
e4,1,1.0,e4,-e4,-e4
e1^e2,2,-1.0,-e1^e2,e1^e2,-e1^e2
e1^e3,2,-1.0,-e1^e3,e1^e3,-e1^e3
e2^e3,2,-1.0,-e2^e3,e2^e3,-e2^e3
e1^e4,2,-1.0,-e1^e4,e1^e4,-e1^e4
e2^e4,2,-1.0,-e2^e4,e2^e4,-e2^e4
e3^e4,2,-1.0,-e3^e4,e3^e4,-e3^e4
e1^e2^e3,3,-1.0,-e1^e2^e3,-e1^e2^e3,e1^e2^e3
e1^e2^e4,3,-1.0,-e1^e2^e4,-e1^e2^e4,e1^e2^e4
e1^e3^e4,3,-1.0,-e1^e3^e4,-e1^e3^e4,e1^e3^e4
e2^e3^e4,3,-1.0,-e2^e3^e4,-e2^e3^e4,e2^e3^e4
e1^e2^e3^e4,4,1.0,e1^e2^e3^e4,e1^e2^e3^e4,e1^e2^e3^e4
