check,value
five_point_fit_error,4.677452743560217e-16
max_transformed_point_residual,2.220446049250313e-16
transformed_point_1_residual,2.220446049250313e-16
transformed_point_2_residual,2.220446049250313e-16
transformed_point_3_residual,1.1102230246251565e-16
transformed_point_4_residual,0.0
transformed_point_5_residual,2.220446049250313e-16
normalized_fit_matrix_entry_1,-0.5773502691896258
normalized_fit_matrix_entry_2,-1.3877787807814457e-16
normalized_fit_matrix_entry_3,2.7755575615628914e-17
normalized_fit_matrix_entry_4,-1.3877787807814457e-16
normalized_fit_matrix_entry_5,-0.5773502691896257
normalized_fit_matrix_entry_6,0.0
normalized_fit_matrix_entry_7,2.7755575615628914e-17
normalized_fit_matrix_entry_8,0.0
normalized_fit_matrix_entry_9,0.577350269189626
