lambda,determinant
-2.2,0.09450000000000003
-2.1,0.04868750000000006
-2.0,0.0
-1.9000000000000001,-0.05118749999999997
-1.8000000000000003,-0.10449999999999983
-1.7000000000000002,-0.15956249999999988
-1.6,-0.21599999999999991
-1.5,-0.27343750000000006
-1.4000000000000001,-0.3314999999999999
-1.3000000000000003,-0.3898124999999999
-1.2000000000000002,-0.4479999999999999
-1.1,-0.5056875
-1.0,-0.5625
-0.9000000000000001,-0.6180624999999998
-0.8,-0.672
-0.7000000000000002,-0.7239374999999999
-0.6000000000000001,-0.7735
-0.5,-0.8203125
-0.40000000000000013,-0.8639999999999999
-0.30000000000000004,-0.9041875
-0.20000000000000018,-0.9405
-0.10000000000000009,-0.9725624999999999
0.0,-1.0
0.10000000000000009,-1.0224374999999999
0.20000000000000018,-1.0395
0.2999999999999998,-1.0508125
0.3999999999999999,-1.056
0.5,-1.0546875
0.6000000000000001,-1.0464999999999998
0.7000000000000002,-1.0310625
0.7999999999999998,-1.008
0.8999999999999999,-0.9769375000000002
1.0,-0.9375
1.1,-0.8893125
1.2000000000000002,-0.8319999999999999
1.2999999999999998,-0.7651875000000001
1.4,-0.6885
1.5,-0.6015625
1.6,-0.5039999999999999
1.7000000000000002,-0.3954374999999998
1.7999999999999998,-0.27550000000000024
1.9000000000000004,-0.1438124999999996
2.0,0.0
2.0999999999999996,0.15631249999999935
2.2,0.32550000000000023
