id,volume,part,chapter,title,printed_start,printed_end,pdf_start,pdf_end,pdf_file,notebook,artifact_key
v1-c00,1,Orientation,0,Introduction,1,18,13,30,Hodge Theory and Complex Algebraic Geometry I.pdf,volume-01-foundations/part-00-orientation/chapter-00-introduction/00-introduction.ipynb,volume-01/v1-c00
v1-c01,1,Preliminaries,1,Holomorphic Functions of Many Variables,21,37,33,49,Hodge Theory and Complex Algebraic Geometry I.pdf,volume-01-foundations/part-01-preliminaries/chapter-01-holomorphic-functions-of-many-variables/01-holomorphic-functions-of-many-variables.ipynb,volume-01/v1-c01
v1-c02,1,Preliminaries,2,Complex Manifolds,38,62,50,74,Hodge Theory and Complex Algebraic Geometry I.pdf,volume-01-foundations/part-01-preliminaries/chapter-02-complex-manifolds/02-complex-manifolds.ipynb,volume-01/v1-c02
v1-c03,1,Preliminaries,3,Kahler Metrics,63,82,75,94,Hodge Theory and Complex Algebraic Geometry I.pdf,volume-01-foundations/part-01-preliminaries/chapter-03-kahler-metrics/03-kahler-metrics.ipynb,volume-01/v1-c03
v1-c04,1,Preliminaries,4,Sheaves and Cohomology,83,114,95,126,Hodge Theory and Complex Algebraic Geometry I.pdf,volume-01-foundations/part-01-preliminaries/chapter-04-sheaves-and-cohomology/04-sheaves-and-cohomology.ipynb,volume-01/v1-c04
v1-c05,1,The Hodge Decomposition,5,Harmonic Forms and Cohomology,117,136,129,148,Hodge Theory and Complex Algebraic Geometry I.pdf,volume-01-foundations/part-02-hodge-decomposition/chapter-05-harmonic-forms-and-cohomology/05-harmonic-forms-and-cohomology.ipynb,volume-01/v1-c05
v1-c06,1,The Hodge Decomposition,6,The Case of Kahler Manifolds,137,155,149,167,Hodge Theory and Complex Algebraic Geometry I.pdf,volume-01-foundations/part-02-hodge-decomposition/chapter-06-the-case-of-kahler-manifolds/06-the-case-of-kahler-manifolds.ipynb,volume-01/v1-c06
v1-c07,1,The Hodge Decomposition,7,Hodge Structures and Polarisations,156,183,168,195,Hodge Theory and Complex Algebraic Geometry I.pdf,volume-01-foundations/part-02-hodge-decomposition/chapter-07-hodge-structures-and-polarisations/07-hodge-structures-and-polarisations.ipynb,volume-01/v1-c07
v1-c08,1,The Hodge Decomposition,8,Holomorphic de Rham Complexes and Spectral Sequences,184,216,196,228,Hodge Theory and Complex Algebraic Geometry I.pdf,volume-01-foundations/part-02-hodge-decomposition/chapter-08-holomorphic-de-rham-complexes-and-spectral-sequences/08-holomorphic-de-rham-complexes-and-spectral-sequences.ipynb,volume-01/v1-c08
v1-c09,1,Variations of Hodge Structure,9,Families and Deformations,219,238,231,250,Hodge Theory and Complex Algebraic Geometry I.pdf,volume-01-foundations/part-03-variations-of-hodge-structure/chapter-09-families-and-deformations/09-families-and-deformations.ipynb,volume-01/v1-c09
v1-c10,1,Variations of Hodge Structure,10,Variations of Hodge Structure,239,260,251,272,Hodge Theory and Complex Algebraic Geometry I.pdf,volume-01-foundations/part-03-variations-of-hodge-structure/chapter-10-variations-of-hodge-structure/10-variations-of-hodge-structure.ipynb,volume-01/v1-c10
v1-c11,1,Cycles and Cycle Classes,11,Hodge Classes,263,289,275,301,Hodge Theory and Complex Algebraic Geometry I.pdf,volume-01-foundations/part-04-cycles-and-cycle-classes/chapter-11-hodge-classes/11-hodge-classes.ipynb,volume-01/v1-c11
