location,u,estimator,term,value
left bend,-1.0,bias-corrected MLE,model e-curvature,0.282924295264556
left bend,-1.0,bias-corrected MLE,coordinate m-connection,0.29220212986009614
left bend,-1.0,bias-corrected MLE,ancillary m-curvature,0.0
left bend,-1.0,bias-corrected bent-fiber estimator,model e-curvature,0.282924295264556
left bend,-1.0,bias-corrected bent-fiber estimator,coordinate m-connection,0.29220212986009614
left bend,-1.0,bias-corrected bent-fiber estimator,ancillary m-curvature,0.10200670215562985
center,0.0,bias-corrected MLE,model e-curvature,0.334640755859255
center,0.0,bias-corrected MLE,coordinate m-connection,0.024948650439667704
center,0.0,bias-corrected MLE,ancillary m-curvature,0.0
center,0.0,bias-corrected bent-fiber estimator,model e-curvature,0.334640755859255
center,0.0,bias-corrected bent-fiber estimator,coordinate m-connection,0.024948650439667704
center,0.0,bias-corrected bent-fiber estimator,ancillary m-curvature,0.25
right bend,1.0,bias-corrected MLE,model e-curvature,0.015424194486377772
right bend,1.0,bias-corrected MLE,coordinate m-connection,0.0044735795900887635
right bend,1.0,bias-corrected MLE,ancillary m-curvature,0.0
right bend,1.0,bias-corrected bent-fiber estimator,model e-curvature,0.015424194486377772
right bend,1.0,bias-corrected bent-fiber estimator,coordinate m-connection,0.0044735795900887635
right bend,1.0,bias-corrected bent-fiber estimator,ancillary m-curvature,0.10200670215562985
