n,constructible,odd_part,central_angle_degrees
3,True,3,120.0
4,True,1,90.0
5,True,5,72.0
6,True,3,60.0
7,False,7,51.42857142857143
8,True,1,45.0
9,False,9,40.0
10,True,5,36.0
11,False,11,32.72727272727273
12,True,3,30.0
13,False,13,27.692307692307693
14,False,7,25.714285714285715
15,True,15,24.0
16,True,1,22.5
17,True,17,21.176470588235293
18,False,9,20.0
19,False,19,18.94736842105263
20,True,5,18.0
21,False,21,17.142857142857142
22,False,11,16.363636363636363
23,False,23,15.652173913043478
24,True,3,15.0
25,False,25,14.4
26,False,13,13.846153846153847
27,False,27,13.333333333333334
28,False,7,12.857142857142858
29,False,29,12.413793103448276
30,True,15,12.0
31,False,31,11.612903225806452
32,True,1,11.25
33,False,33,10.909090909090908
34,True,17,10.588235294117647
35,False,35,10.285714285714286
36,False,9,10.0
37,False,37,9.72972972972973
38,False,19,9.473684210526315
39,False,39,9.23076923076923
40,True,5,9.0
41,False,41,8.78048780487805
42,False,21,8.571428571428571
43,False,43,8.372093023255815
44,False,11,8.181818181818182
45,False,45,8.0
46,False,23,7.826086956521739
47,False,47,7.659574468085107
48,True,3,7.5
49,False,49,7.346938775510204
50,False,25,7.2
51,True,51,7.0588235294117645
52,False,13,6.923076923076923
53,False,53,6.7924528301886795
54,False,27,6.666666666666667
55,False,55,6.545454545454546
56,False,7,6.428571428571429
57,False,57,6.315789473684211
58,False,29,6.206896551724138
59,False,59,6.101694915254237
60,True,15,6.0
61,False,61,5.901639344262295
62,False,31,5.806451612903226
63,False,63,5.714285714285714
64,True,1,5.625
65,False,65,5.538461538461538
66,False,33,5.454545454545454
67,False,67,5.373134328358209
68,True,17,5.294117647058823
69,False,69,5.217391304347826
70,False,35,5.142857142857143
71,False,71,5.070422535211268
72,False,9,5.0
73,False,73,4.931506849315069
74,False,37,4.864864864864865
75,False,75,4.8
76,False,19,4.7368421052631575
77,False,77,4.675324675324675
78,False,39,4.615384615384615
79,False,79,4.556962025316456
80,True,5,4.5
