group,quantity,value
dilation,max_parallel_cross_residual,8.881784197001252e-16
dilation,max_length_scale_residual,4.440892098500626e-16
centers_of_similitude,max_external_collinearity_residual,1.7763568394002505e-15
centers_of_similitude,max_internal_collinearity_residual,4.440892098500626e-16
centers_of_similitude,external_scale,1.9473684210526319
centers_of_similitude,internal_scale,-1.9473684210526319
nine_point_center,midpoint_OH_residual,0.0
nine_point_center,G_minus_half_to_side_midpoints_residual,6.280369834735101e-16
nine_point_center,max_nine_point_radius_residual,2.220446049250313e-16
nine_point_center,circumradius,2.567646094895157
nine_point_center,nine_point_radius,1.2838230474475785
spiral_similarity,mu,0.78
spiral_similarity,theta_degrees,38.0
spiral_similarity,fixed_point_residual,0.0
spiral_similarity,max_orbit_scale_residual,3.1086244689504383e-15
spiral_similarity,max_orbit_angle_residual_radians,4.218847493575595e-15
direct_opposite_classifier,base_oriented_area,1.5050000000000001
direct_opposite_classifier,direct_oriented_area,1.2738320000000007
direct_opposite_classifier,opposite_oriented_area,-1.2738320000000005
direct_opposite_classifier,direct_length_scale_residual,3.3306690738754696e-16
direct_opposite_classifier,opposite_length_scale_residual,2.220446049250313e-16
nested_image_lab,canvas_pixel_std,21.686996233856256
nested_image_lab,base_pixel_std,51.63568310125316
nested_image_lab,direct_declared_scale,0.72
nested_image_lab,opposite_declared_scale,0.55
