case,step,x,y,z,radius_to_axis
direct: lambda = 1.16,0,0.92,-0.13,0.43,0.8015609770940699
direct: lambda = 1.16,1,0.8366762261469878,0.41238769980116197,0.49079999999999996,0.929810733429121
direct: lambda = 1.16,2,0.3886635316884055,0.8645839820429533,0.5613279999999999,1.0785804507777803
direct: lambda = 1.16,3,-0.3400997279644542,0.9834830801246379,0.6431404799999999,1.251153322902225
direct: lambda = 1.16,4,-1.1050837659907564,0.5981717897764166,0.7380429567999999,1.451337854566581
direct: lambda = 1.16,5,-1.5602733260799995,-0.28501708287999983,0.8481298298879998,1.683551911297234
direct: lambda = 1.16,6,-1.3852649327880764,-1.4242165633422232,0.9758306026700797,1.9529202171047912
direct: lambda = 1.16,7,-0.4442852074830957,-2.3739832523465045,1.1239634990972924,2.2653874518415575
direct: lambda = 1.16,8,1.0863666252941704,-2.6237119810985354,1.295797658952859,2.627849444136207
opposite: lambda = -0.84,0,1.2200000000000002,-0.33999999999999997,0.6000000000000001,1.1115754585272204
opposite: lambda = -0.84,1,-0.7065300407105599,-0.6143816890742523,-0.41200000000000003,0.9337233851628651
opposite: lambda = -0.84,2,0.4672171068177169,0.5232852430906924,0.43808,0.7843276435368067
opposite: lambda = -0.84,3,0.23127996926793723,-0.8293693989590644,-0.2759872,0.6588352205709175
opposite: lambda = -0.84,4,-0.27624239950633656,0.2063514098418872,0.323829248,0.5534215852795706
opposite: lambda = -0.84,5,0.5800331366399999,-0.2469139107840001,-0.18001656832,0.46487413163483937
opposite: lambda = -0.84,6,-0.22566473377751428,-0.36166360993073576,0.2432139173888,0.390494270573265
opposite: lambda = -0.84,7,0.2652103406767457,0.11412228757421455,-0.11229969060659198,0.32801518728154266
opposite: lambda = -0.84,8,0.16653861209775628,-0.4515740376737908,0.18633174010953726,0.2755327573164958
