n,F_n,F_n_plus_1,ratio_F_next_over_F,error_from_tau,abs_error,continued_fraction_convergent
1,1,1,1.0,-0.6180339887498949,0.6180339887498949,1/1
2,1,2,2.0,0.3819660112501051,0.3819660112501051,2/1
3,2,3,1.5,-0.1180339887498949,0.1180339887498949,3/2
4,3,5,1.6666666666666667,0.04863267791677184,0.04863267791677184,5/3
5,5,8,1.6,-0.018033988749894814,0.018033988749894814,8/5
6,8,13,1.625,0.0069660112501050975,0.0069660112501050975,13/8
7,13,21,1.6153846153846154,-0.0026493733652794837,0.0026493733652794837,21/13
8,21,34,1.619047619047619,0.0010136302977241662,0.0010136302977241662,34/21
9,34,55,1.6176470588235294,-0.00038692992636546464,0.00038692992636546464,55/34
10,55,89,1.6181818181818182,0.00014782943192326314,0.00014782943192326314,89/55
11,89,144,1.6179775280898876,-5.6460660007306984e-05,5.6460660007306984e-05,144/89
12,144,233,1.6180555555555556,2.15668056606777e-05,2.15668056606777e-05,233/144
13,233,377,1.6180257510729614,-8.237676933475768e-06,8.237676933475768e-06,377/233
14,377,610,1.6180371352785146,3.1465286196574738e-06,3.1465286196574738e-06,610/377
15,610,987,1.618032786885246,-1.2018646489142526e-06,1.2018646489142526e-06,987/610
16,987,1597,1.618034447821682,4.590717870289751e-07,4.590717870289751e-07,1597/987
17,1597,2584,1.6180338134001253,-1.7534976959332482e-07,1.7534976959332482e-07,2584/1597
18,2584,4181,1.618034055727554,6.697765919660981e-08,6.697765919660981e-08,4181/2584
19,4181,6765,1.6180339631667064,-2.5583188456579364e-08,2.5583188456579364e-08,6765/4181
20,6765,10946,1.6180339985218033,9.771908393574336e-09,9.771908393574336e-09,10946/6765
21,10946,17711,1.618033985017358,-3.732536946188247e-09,3.732536946188247e-09,17711/10946
22,17711,28657,1.6180339901755971,1.4257022229458016e-09,1.4257022229458016e-09,28657/17711
23,28657,46368,1.618033988205325,-5.445699446937624e-10,5.445699446937624e-10,46368/28657
24,46368,75025,1.618033988957902,2.0800716704627575e-10,2.0800716704627575e-10,75025/46368
