offset_q,wrapped_horizontal_gap,vertical_gap,distance
1,0.3819660112501051,0.00696601125010515,0.38202952642832727
2,0.2360679774997898,0.0139320225002103,0.2364787331913541
3,0.1458980337503153,0.020898033750315452,0.1473871231378015
4,0.4721359549995796,0.0278640450004206,0.4729574663827082
5,0.09016994374947451,0.03483005625052575,0.09666308278861266
6,0.2917960675006306,0.041796067500630904,0.294774246275603
7,0.3262379212492643,0.04876207875073605,0.3298619735361052
8,0.05572809000084078,0.0557280900008412,0.0788114206843378
9,0.4376941012509459,0.06269410125094635,0.4421613694134045
10,0.18033988749894903,0.0696601125010515,0.19332616557722532
11,0.2016261237511543,0.07662612375115666,0.2156957501204958
12,0.41640786499873883,0.08359213500126181,0.42471538124593167
13,0.034441853748631956,0.09055814625136696,0.09688663035799171
14,0.34752415750147136,0.0975241575014721,0.3609487516857198
15,0.2705098312484253,0.10449016875157725,0.28998924836583967
16,0.11145618000168156,0.1114561800016824,0.1576228413686756
17,0.49342219125178843,0.11842219125178756,0.5074340097003663
18,0.12461179749810825,0.1253882025018927,0.17677754778920649
19,0.2573542137519951,0.13235421375199785,0.2893938997868081
20,0.36067977499789805,0.139320225002103,0.38665233115445063
21,0.021286236252208823,0.14628623625220816,0.14782681343593154
22,0.4032522475023086,0.1532522475023133,0.4313915002409916
23,0.21478174124758453,0.16021825875241846,0.26795724810312793
24,0.16718427000252234,0.16718427000252362,0.2364342620530134
25,0.4508497187473708,0.17415028125262877,0.48331541394306166
26,0.06888370749726391,0.18111629250273392,0.19377326071598341
27,0.31308230375283586,0.18808230375283905,0.3652334621966588
28,0.30495168499705727,0.1950483150029442,0.361993612330428
29,0.0770143262530496,0.20201432625304935,0.21619665691144402
30,0.45898033750314937,0.2089803375031545,0.5043170943736066
