chi,N_real,floor_N,surface_hint,quadratic_residual
2,4.0,4,sphere,0.0
1,6.0,6,projective plane,0.0
0,7.0,7,torus or Klein bottle,0.0
-1,7.772002,7,three cross-caps,-0.0
-2,8.424429,8,more complicated surface,0.0
-3,9.0,9,more complicated surface,0.0
-4,9.520797,9,more complicated surface,0.0
-5,10.0,10,more complicated surface,0.0
-6,10.446222,10,more complicated surface,-0.0
-7,10.86546,10,more complicated surface,0.0
-8,11.262087,11,more complicated surface,0.0
-9,11.63941,11,more complicated surface,0.0
