family,parameter,chi,heawood_floor,candidate_graph,candidate_genus_needed,fits_by_genus_formula,exception_note
orientable,g=0,2,4,K4,0,True,none
orientable,g=1,0,7,K7,1,True,none
orientable,g=2,-2,8,K8,2,True,none
orientable,g=3,-4,9,K9,3,True,none
orientable,g=4,-6,10,K10,4,True,none
orientable,g=5,-8,11,K11,5,True,none
orientable,g=6,-10,12,K12,6,True,none
nonorientable,q=1,1,6,K6,1,True,none
nonorientable,q=2,0,7,K7,3,False,Klein bottle exception
nonorientable,q=3,-1,7,K7,3,True,none
nonorientable,q=4,-2,8,K8,4,True,none
nonorientable,q=5,-3,9,K9,5,True,none
nonorientable,q=6,-4,9,K9,5,True,none
nonorientable,q=7,-5,10,K10,7,True,none
nonorientable,q=8,-6,10,K10,7,True,none
