subset,open,closed,is_A,interior_of_A,closure_of_A,boundary_of_A
{},True,True,False,True,False,False
{p},True,False,False,False,False,False
{q},False,False,False,False,False,False
{r},False,False,False,False,False,False
{s},False,True,False,False,False,False
"{p,q}",True,False,False,False,False,False
"{p,r}",True,False,False,False,False,False
"{p,s}",False,False,False,False,False,False
"{q,r}",False,False,False,False,False,False
"{q,s}",False,True,True,False,True,True
"{r,s}",False,True,False,False,False,False
"{p,q,r}",True,False,False,False,False,False
"{p,q,s}",False,False,False,False,False,False
"{p,r,s}",False,False,False,False,False,False
"{q,r,s}",False,True,False,False,False,False
"{p,q,r,s}",True,True,False,False,False,False
