radius,determinant,naive_component_residual
0.080000,0.080000,0.945637
0.106835,0.106835,0.935706
0.133671,0.133671,0.925825
0.160506,0.160506,0.915997
0.187342,0.187342,0.906224
0.214177,0.214177,0.896506
0.241013,0.241013,0.886847
0.267848,0.267848,0.877247
0.294684,0.294684,0.867709
0.321519,0.321519,0.858235
0.348354,0.348354,0.848827
0.375190,0.375190,0.839488
0.402025,0.402025,0.830219
0.428861,0.428861,0.821023
0.455696,0.455696,0.811903
0.482532,0.482532,0.802860
0.509367,0.509367,0.793898
0.536203,0.536203,0.785020
0.563038,0.563038,0.776228
0.589873,0.589873,0.767525
0.616709,0.616709,0.758915
0.643544,0.643544,0.750400
0.670380,0.670380,0.741984
0.697215,0.697215,0.733671
0.724051,0.724051,0.725463
0.750886,0.750886,0.717364
0.777722,0.777722,0.709379
0.804557,0.804557,0.701510
0.831392,0.831392,0.693763
0.858228,0.858228,0.686140
0.885063,0.885063,0.678647
0.911899,0.911899,0.671288
0.938734,0.938734,0.664066
0.965570,0.965570,0.656987
0.992405,0.992405,0.650056
1.019241,1.019241,0.643276
1.046076,1.046076,0.636653
1.072911,1.072911,0.630192
1.099747,1.099747,0.623898
1.126582,1.126582,0.617776
1.153418,1.153418,0.611831
1.180253,1.180253,0.606069
1.207089,1.207089,0.600494
1.233924,1.233924,0.595111
1.260759,1.260759,0.589927
1.287595,1.287595,0.584947
1.314430,1.314430,0.580175
1.341266,1.341266,0.575616
1.368101,1.368101,0.571277
1.394937,1.394937,0.567162
1.421772,1.421772,0.563275
1.448608,1.448608,0.559622
1.475443,1.475443,0.556208
1.502278,1.502278,0.553036
1.529114,1.529114,0.550111
1.555949,1.555949,0.547436
1.582785,1.582785,0.545017
1.609620,1.609620,0.542855
1.636456,1.636456,0.540954
1.663291,1.663291,0.539317
1.690127,1.690127,0.537946
1.716962,1.716962,0.536843
1.743797,1.743797,0.536010
1.770633,1.770633,0.535449
1.797468,1.797468,0.535159
1.824304,1.824304,0.535141
1.851139,1.851139,0.535397
1.877975,1.877975,0.535924
1.904810,1.904810,0.536722
1.931646,1.931646,0.537791
1.958481,1.958481,0.539127
1.985316,1.985316,0.540731
2.012152,2.012152,0.542598
2.038987,2.038987,0.544727
2.065823,2.065823,0.547114
2.092658,2.092658,0.549756
2.119494,2.119494,0.552650
2.146329,2.146329,0.555790
2.173165,2.173165,0.559174
2.200000,2.200000,0.562797
