a,preimage_count,min_abs_span_determinant,transverse_to_axis
-0.8,2,1.788854,True
-0.75,2,1.732051,True
-0.7,2,1.67332,True
-0.65,2,1.612452,True
-0.6,2,1.549193,True
-0.55,2,1.48324,True
-0.5,2,1.414214,True
-0.45,2,1.341641,True
-0.4,2,1.264911,True
-0.35,2,1.183216,True
-0.3,2,1.095445,True
-0.25,2,1.0,True
-0.2,2,0.894427,True
-0.15,2,0.774597,True
-0.1,2,0.632456,True
-0.05,2,0.447214,True
0.0,1,0.0,False
0.05,0,,True
0.1,0,,True
0.15,0,,True
0.2,0,,True
0.25,0,,True
0.3,0,,True
0.35,0,,True
0.4,0,,True
0.45,0,,True
0.5,0,,True
0.55,0,,True
0.6,0,,True
0.65,0,,True
0.7,0,,True
0.75,0,,True
0.8,0,,True
