construction,object,first_projection,second_projection
product,"('u', 0)",u,0
product,"('u', 1)",u,1
product,"('v', 0)",v,0
product,"('v', 1)",v,1
product,"('w', 0)",w,0
product,"('w', 1)",w,1
disjoint_union,"(edge, red)",edge,red
disjoint_union,"(point, red)",point,red
disjoint_union,"(face, blue)",face,blue
disjoint_union,"(point, blue)",point,blue
disjoint_union,"(edge, green)",edge,green
quotient_map,0,class 0,0
quotient_map,1,class 1,1
quotient_map,2,class 2,2
quotient_map,3,class 0,0
quotient_map,4,class 1,1
quotient_map,5,class 2,2
quotient_map,6,class 0,0
quotient_map,7,class 1,1
quotient_map,8,class 2,2
quotient_map,9,class 0,0
