element,in_A,in_B,in_C,in_A_union_B,in_A_cap_B,in_A_minus_B,in_complement_A
1,True,False,False,True,False,True,False
2,True,False,True,True,False,True,False
3,True,True,False,True,True,False,False
4,True,True,True,True,True,False,False
5,False,True,False,True,False,False,True
6,False,True,True,True,False,False,True
7,True,False,False,True,False,True,False
8,True,True,True,True,True,False,False
9,False,True,False,True,False,False,True
10,False,False,True,False,False,False,True
11,False,False,False,False,False,False,True
12,False,False,True,False,False,False,True
