n,1_over_n,1_minus_1_over_n,tail_diameter_1_over_n,tail_diameter_open_interval
1,1.0,0.0,0.9833333333333333,0.9833333333333333
2,0.5,0.5,0.48333333333333334,0.4833333333333333
3,0.3333333333333333,0.6666666666666667,0.31666666666666665,0.31666666666666654
4,0.25,0.75,0.23333333333333334,0.23333333333333328
5,0.2,0.8,0.18333333333333335,0.18333333333333324
6,0.16666666666666666,0.8333333333333334,0.15,0.1499999999999999
7,0.14285714285714285,0.8571428571428572,0.1261904761904762,0.12619047619047608
8,0.125,0.875,0.10833333333333334,0.10833333333333328
9,0.1111111111111111,0.8888888888888888,0.09444444444444444,0.09444444444444444
10,0.1,0.9,0.08333333333333334,0.08333333333333326
11,0.09090909090909091,0.9090909090909091,0.07424242424242425,0.07424242424242422
12,0.08333333333333333,0.9166666666666666,0.06666666666666667,0.06666666666666665
