family,parameter,surface,word,euler_characteristic,orientable
orientable,0,sphere,s s^-1,2,True
orientable,1,#1 tori,a1 b1 a1^-1 b1^-1,0,True
orientable,2,#2 tori,a1 b1 a1^-1 b1^-1 a2 b2 a2^-1 b2^-1,-2,True
orientable,3,#3 tori,a1 b1 a1^-1 b1^-1 a2 b2 a2^-1 b2^-1 a3 b3 a3^-1 b3^-1,-4,True
orientable,4,#4 tori,a1 b1 a1^-1 b1^-1 a2 b2 a2^-1 b2^-1 a3 b3 a3^-1 b3^-1 a4 b4 a4^-1 b4^-1,-6,True
nonorientable,1,#1 projective planes,c1 c1,1,False
nonorientable,2,#2 projective planes,c1 c1 c2 c2,0,False
nonorientable,3,#3 projective planes,c1 c1 c2 c2 c3 c3,-1,False
nonorientable,4,#4 projective planes,c1 c1 c2 c2 c3 c3 c4 c4,-2,False
nonorientable,5,#5 projective planes,c1 c1 c2 c2 c3 c3 c4 c4 c5 c5,-3,False
nonorientable,6,#6 projective planes,c1 c1 c2 c2 c3 c3 c4 c4 c5 c5 c6 c6,-4,False
