cover_degree_n,map_degree_m,gcd_abs_m_n,mZ_contained_in_nZ,lift_exists
2,-8,2,True,True
2,-7,1,False,False
2,-6,2,True,True
2,-5,1,False,False
2,-4,2,True,True
2,-3,1,False,False
2,-2,2,True,True
2,-1,1,False,False
2,0,2,True,True
2,1,1,False,False
2,2,2,True,True
2,3,1,False,False
2,4,2,True,True
2,5,1,False,False
2,6,2,True,True
2,7,1,False,False
2,8,2,True,True
3,-8,1,False,False
3,-7,1,False,False
3,-6,3,True,True
3,-5,1,False,False
3,-4,1,False,False
3,-3,3,True,True
3,-2,1,False,False
3,-1,1,False,False
3,0,3,True,True
3,1,1,False,False
3,2,1,False,False
3,3,3,True,True
3,4,1,False,False
3,5,1,False,False
3,6,3,True,True
3,7,1,False,False
3,8,1,False,False
4,-8,4,True,True
4,-7,1,False,False
4,-6,2,False,False
4,-5,1,False,False
4,-4,4,True,True
4,-3,1,False,False
4,-2,2,False,False
4,-1,1,False,False
4,0,4,True,True
4,1,1,False,False
4,2,2,False,False
4,3,1,False,False
4,4,4,True,True
4,5,1,False,False
4,6,2,False,False
4,7,1,False,False
4,8,4,True,True
5,-8,1,False,False
5,-7,1,False,False
5,-6,1,False,False
5,-5,5,True,True
5,-4,1,False,False
5,-3,1,False,False
5,-2,1,False,False
5,-1,1,False,False
5,0,5,True,True
5,1,1,False,False
5,2,1,False,False
5,3,1,False,False
5,4,1,False,False
5,5,5,True,True
5,6,1,False,False
5,7,1,False,False
5,8,1,False,False
6,-8,2,False,False
6,-7,1,False,False
6,-6,6,True,True
6,-5,1,False,False
6,-4,2,False,False
6,-3,3,False,False
6,-2,2,False,False
6,-1,1,False,False
6,0,6,True,True
6,1,1,False,False
6,2,2,False,False
6,3,3,False,False
6,4,2,False,False
6,5,1,False,False
6,6,6,True,True
6,7,1,False,False
6,8,2,False,False
7,-8,1,False,False
7,-7,7,True,True
7,-6,1,False,False
7,-5,1,False,False
7,-4,1,False,False
7,-3,1,False,False
7,-2,1,False,False
7,-1,1,False,False
7,0,7,True,True
7,1,1,False,False
7,2,1,False,False
7,3,1,False,False
7,4,1,False,False
7,5,1,False,False
7,6,1,False,False
7,7,7,True,True
7,8,1,False,False
8,-8,8,True,True
8,-7,1,False,False
8,-6,2,False,False
8,-5,1,False,False
8,-4,4,False,False
8,-3,1,False,False
8,-2,2,False,False
8,-1,1,False,False
8,0,8,True,True
8,1,1,False,False
8,2,2,False,False
8,3,1,False,False
8,4,4,False,False
8,5,1,False,False
8,6,2,False,False
8,7,1,False,False
8,8,8,True,True
