matrix,row,column,value
d1_edges_to_vertices,"(0,)","(0, 1)",-1
d1_edges_to_vertices,"(0,)","(0, 2)",-1
d1_edges_to_vertices,"(0,)","(1, 2)",0
d1_edges_to_vertices,"(1,)","(0, 1)",1
d1_edges_to_vertices,"(1,)","(0, 2)",0
d1_edges_to_vertices,"(1,)","(1, 2)",-1
d1_edges_to_vertices,"(2,)","(0, 1)",0
d1_edges_to_vertices,"(2,)","(0, 2)",1
d1_edges_to_vertices,"(2,)","(1, 2)",1
d2_triangle_to_edges,"(0, 1)","(0, 1, 2)",1
d2_triangle_to_edges,"(0, 2)","(0, 1, 2)",-1
d2_triangle_to_edges,"(1, 2)","(0, 1, 2)",1
d1_times_d2,"(0,)","(0, 1, 2)",0
d1_times_d2,"(1,)","(0, 1, 2)",0
d1_times_d2,"(2,)","(0, 1, 2)",0
