degree,point_constraints,residual_complex_dim,status,on_counting_line
1,0,2,family,False
1,1,1,family,False
1,2,0,isolated count candidate,True
1,3,-1,overconstrained,False
1,4,-2,overconstrained,False
1,5,-3,overconstrained,False
1,6,-4,overconstrained,False
1,7,-5,overconstrained,False
1,8,-6,overconstrained,False
1,9,-7,overconstrained,False
1,10,-8,overconstrained,False
1,11,-9,overconstrained,False
1,12,-10,overconstrained,False
1,13,-11,overconstrained,False
1,14,-12,overconstrained,False
1,15,-13,overconstrained,False
1,16,-14,overconstrained,False
1,17,-15,overconstrained,False
2,0,5,family,False
2,1,4,family,False
2,2,3,family,False
2,3,2,family,False
2,4,1,family,False
2,5,0,isolated count candidate,True
2,6,-1,overconstrained,False
2,7,-2,overconstrained,False
2,8,-3,overconstrained,False
2,9,-4,overconstrained,False
2,10,-5,overconstrained,False
2,11,-6,overconstrained,False
2,12,-7,overconstrained,False
2,13,-8,overconstrained,False
2,14,-9,overconstrained,False
2,15,-10,overconstrained,False
2,16,-11,overconstrained,False
2,17,-12,overconstrained,False
3,0,8,family,False
3,1,7,family,False
3,2,6,family,False
3,3,5,family,False
3,4,4,family,False
3,5,3,family,False
3,6,2,family,False
3,7,1,family,False
3,8,0,isolated count candidate,True
3,9,-1,overconstrained,False
3,10,-2,overconstrained,False
3,11,-3,overconstrained,False
3,12,-4,overconstrained,False
3,13,-5,overconstrained,False
3,14,-6,overconstrained,False
3,15,-7,overconstrained,False
3,16,-8,overconstrained,False
3,17,-9,overconstrained,False
4,0,11,family,False
4,1,10,family,False
4,2,9,family,False
4,3,8,family,False
4,4,7,family,False
4,5,6,family,False
4,6,5,family,False
4,7,4,family,False
4,8,3,family,False
4,9,2,family,False
4,10,1,family,False
4,11,0,isolated count candidate,True
4,12,-1,overconstrained,False
4,13,-2,overconstrained,False
4,14,-3,overconstrained,False
4,15,-4,overconstrained,False
4,16,-5,overconstrained,False
4,17,-6,overconstrained,False
5,0,14,family,False
5,1,13,family,False
5,2,12,family,False
5,3,11,family,False
5,4,10,family,False
5,5,9,family,False
5,6,8,family,False
5,7,7,family,False
5,8,6,family,False
5,9,5,family,False
5,10,4,family,False
5,11,3,family,False
5,12,2,family,False
5,13,1,family,False
5,14,0,isolated count candidate,True
5,15,-1,overconstrained,False
5,16,-2,overconstrained,False
5,17,-3,overconstrained,False
6,0,17,family,False
6,1,16,family,False
6,2,15,family,False
6,3,14,family,False
6,4,13,family,False
6,5,12,family,False
6,6,11,family,False
6,7,10,family,False
6,8,9,family,False
6,9,8,family,False
6,10,7,family,False
6,11,6,family,False
6,12,5,family,False
6,13,4,family,False
6,14,3,family,False
6,15,2,family,False
6,16,1,family,False
6,17,0,isolated count candidate,True
