frequency,imag,magnitude,real
-6,6.938893903907228e-18,2.6930150290767383e-17,-2.6020852139652106e-17
-5,-8.456776945386935e-18,0.12499999999999997,0.12499999999999997
-4,3.2526065174565133e-18,1.257113600771817e-17,-1.214306433183765e-17
-3,-0.20000000000000004,0.20000000000000004,2.168404344971009e-17
-2,3.577867169202165e-18,0.35,0.35
-1,1.3769367590565906e-17,1.6273509833368865e-17,-8.673617379884035e-18
0,0.0,1.3877787807814457e-17,1.3877787807814457e-17
1,-1.3769367590565906e-17,1.6273509833368865e-17,-8.673617379884035e-18
2,-3.577867169202165e-18,0.35,0.35
3,0.20000000000000004,0.20000000000000004,2.168404344971009e-17
4,-3.2526065174565133e-18,1.257113600771817e-17,-1.214306433183765e-17
5,8.456776945386935e-18,0.12499999999999997,0.12499999999999997
6,9.595189226496714e-18,1.564720109556796e-17,-1.235990476633475e-17
