components,diameter_if_connected,edges,epsilon,homophily,largest_component_size,mean_degree
5,,22,0.22,1.0,9,2.2
2,,38,0.322,1.0,10,3.8
2,,59,0.424,1.0,10,5.9
2,,72,0.526,1.0,10,7.2
2,,80,0.628,1.0,10,8.0
2,,88,0.73,1.0,10,8.8
2,,89,0.832,1.0,10,8.9
2,,90,0.934,1.0,10,9.0
2,,90,1.036,1.0,10,9.0
2,,90,1.138,1.0,10,9.0
2,,90,1.24,1.0,10,9.0
1,3,91,1.342,0.989010989010989,20,9.1
1,3,95,1.444,0.9473684210526315,20,9.5
1,3,100,1.546,0.9,20,10.0
1,3,108,1.648,0.8333333333333334,20,10.8
1,3,121,1.75,0.743801652892562,20,12.1
