point_index,is_control,euclidean_x,euclidean_y,euclidean_z,upgrade_error
0,True,-1.2,-0.7,3.2,8.862285318102318e-14
1,True,1.2,-0.7,3.2,3.901987763798253e-14
2,False,1.2,0.7,3.2,8.556827370637976e-13
3,True,-1.2,0.7,3.2,9.058419808679506e-14
4,True,-1.2,-0.7,5.0,3.985178138972464e-13
5,False,1.2,-0.7,5.0,6.651789677536881e-13
6,False,1.2,0.7,5.0,2.2867500563971417e-13
7,False,-1.2,0.7,5.0,5.511905791333206e-13
8,False,0.0,1.35,3.2,8.334106785447328e-13
9,True,0.0,1.35,5.0,3.469928253693786e-13
10,False,-0.45,-0.25,3.19,1.642471429339397e-13
11,False,0.45,-0.25,3.19,1.9011327953905883e-13
12,False,0.45,0.35,3.19,4.2461793129274513e-13
13,False,-0.45,0.35,3.19,2.3722704604888164e-13
14,False,-0.9,-0.72,4.35,9.036649379926861e-14
15,False,-0.2,-0.72,4.35,2.1744214832229022e-13
16,False,0.7,-0.72,4.35,3.108323108093413e-13
