check,section,value
homogeneous_rescale_error,cp1_charts,2.220446049250313e-16
reciprocal_large_radius,cp1_charts,0.012403473458920844
infinity_dehomogenizes_to,cp1_charts,inf
collinearity_quotient_imag,property_tests,0.0
cocircular_cross_ratio_imag,property_tests,0.0
cocircular_cross_ratio_real,property_tests,-1.0
off_circle_side_abs,property_tests,1.5641025641025639
matrix_determinant_abs,mobius_transform,0.7680056039991545
cross_ratio_error,mobius_transform,1.1443916996305594e-16
transformed_circle_fit_residual,mobius_transform,4.996003610813204e-16
conjugation_side_sum,anti_mobius,0.0
inversion_side_sum,anti_mobius,2.220446049250313e-16
unit_circle_fixed_residual,anti_mobius,1.5700924586837752e-16
inversion_involution_residual,anti_mobius,2.482534153247273e-16
sympy_identity_zero,grassmann_plucker_ptolemy,True
numeric_gp_residual,grassmann_plucker_ptolemy,0.0
rectangle_ptolemy_gap,grassmann_plucker_ptolemy,0.0
noncyclic_ptolemy_gap_positive,grassmann_plucker_ptolemy,0.008746250856869864
cross_ratio_tangent_angle_error,intersection_angles,0.0
mobius_angle_invariance_error,intersection_angles,4.440892098500626e-16
max_sphere_equation_residual,stereographic_projection,2.220446049250313e-16
max_inverse_roundtrip_residual,stereographic_projection,2.220446049250313e-16
large_value_distance_to_north_pole,stereographic_projection,0.0392156862745098
correspondence_residual,three_point_lab,4.577566798522237e-16
lab_cross_ratio_error,three_point_lab,1.6711069443220838e-16
lab_circle_fit_residual,three_point_lab,2.3092638912203256e-14
matrix_determinant_abs,three_point_lab,0.6223319035182636
