cross_ratio_abs_minus_one,cross_ratio_imag,cross_ratio_real,expected_angle_degrees,laguerre_angle_degrees,line_l_degrees,line_m_degrees,mod_pi_error
0.0,0.0,1.0,0.0,0.0,17.0,17.0,0.0
1.1102230246251565e-16,0.05233595624294372,0.9986295347545738,1.499999999999999,1.4999999999999967,17.0,18.5,0.0
0.0,0.10452846326765351,0.9945218953682734,3.000000000000001,3.000000000000001,17.0,20.000000000000004,0.0
1.1102230246251565e-16,0.15643446504023084,0.9876883405951377,4.5,4.5,17.0,21.5,0.0
1.1102230246251565e-16,0.20791169081775918,0.9781476007338056,5.999999999999999,5.999999999999996,17.0,23.0,0.0
0.0,0.25881904510252085,0.9659258262890683,7.500000000000001,7.500000000000003,17.0,24.500000000000004,0.0
0.0,0.3090169943749473,0.9510565162951536,9.0,8.999999999999995,17.0,26.0,0.0
1.1102230246251565e-16,0.35836794954530043,0.9335804264972016,10.499999999999998,10.500000000000005,17.0,27.5,0.0
0.0,0.40673664307580026,0.9135454576426009,12.000000000000002,12.000000000000002,17.0,29.000000000000004,0.0
0.0,0.45399049973954647,0.8910065241883681,13.499999999999996,13.49999999999999,17.0,30.5,2.220446049250313e-16
0.0,0.5,0.8660254037844387,14.999999999999998,14.999999999999998,17.0,32.0,0.0
0.0,0.544639035015027,0.8386705679454243,16.5,16.499999999999993,17.0,33.5,0.0
0.0,0.587785252292473,0.8090169943749476,17.999999999999996,17.999999999999996,17.0,35.0,0.0
1.1102230246251565e-16,0.6293203910498374,0.7771459614569708,19.5,19.500000000000004,17.0,36.5,0.0
1.1102230246251565e-16,0.6691306063588582,0.743144825477394,21.0,21.000000000000004,17.0,38.0,0.0
0.0,0.7071067811865475,0.7071067811865476,22.499999999999996,22.5,17.0,39.5,0.0
0.0,0.7431448254773942,0.6691306063588583,24.0,24.0,17.0,41.0,0.0
2.220446049250313e-16,0.7771459614569708,0.6293203910498373,25.5,25.500000000000004,17.0,42.5,0.0
0.0,0.8090169943749473,0.5877852522924732,26.999999999999996,26.999999999999996,17.0,44.0,0.0
0.0,0.838670567945424,0.5446390350150271,28.5,28.500000000000004,17.0,45.5,0.0
1.1102230246251565e-16,0.8660254037844385,0.5000000000000001,30.000000000000004,29.999999999999996,17.0,47.0,0.0
0.0,0.8910065241883679,0.4539904997395469,31.5,31.5,17.0,48.5,0.0
0.0,0.9135454576426006,0.4067366430758007,32.99999999999999,32.999999999999986,17.0,49.99999999999999,2.220446049250313e-16
2.220446049250313e-16,0.933580426497202,0.3583679495453001,34.50000000000001,34.50000000000001,17.0,51.5,0.0
1.1102230246251565e-16,0.9510565162951534,0.30901699437494756,36.0,35.99999999999999,17.0,53.0,0.0
0.0,0.9659258262890683,0.25881904510252085,37.49999999999999,37.5,17.0,54.49999999999999,0.0
1.1102230246251565e-16,0.9781476007338056,0.2079116908177591,39.00000000000001,39.00000000000001,17.0,56.0,0.0
1.1102230246251565e-16,0.9876883405951377,0.15643446504023104,40.5,40.49999999999999,17.0,57.5,0.0
1.1102230246251565e-16,0.9945218953682732,0.10452846326765372,41.99999999999999,41.99999999999999,17.0,58.99999999999999,0.0
0.0,0.9986295347545739,0.05233595624294394,43.50000000000001,43.5,17.0,60.5,0.0
0.0,1.0,1.5700924586837754e-16,45.0,45.0,17.0,62.0,0.0
2.220446049250313e-16,0.9986295347545737,-0.05233595624294377,46.49999999999999,46.5,17.0,63.49999999999999,0.0
0.0,0.9945218953682734,-0.10452846326765347,48.00000000000001,48.00000000000001,17.0,65.0,0.0
0.0,0.9876883405951378,-0.15643446504023084,49.5,49.5,17.0,66.5,0.0
1.1102230246251565e-16,0.9781476007338056,-0.2079116908177591,50.99999999999999,50.99999999999999,17.0,68.0,0.0
0.0,0.9659258262890684,-0.25881904510252063,52.50000000000001,52.5,17.0,69.5,0.0
0.0,0.9510565162951536,-0.3090169943749472,54.0,53.99999999999999,17.0,71.0,0.0
1.1102230246251565e-16,0.9335804264972019,-0.3583679495452997,55.49999999999999,55.499999999999986,17.0,72.5,2.220446049250313e-16
0.0,0.9135454576426009,-0.40673664307580043,57.00000000000001,57.00000000000001,17.0,74.0,0.0
0.0,0.8910065241883679,-0.45399049973954664,58.5,58.5,17.0,75.5,0.0
0.0,0.8660254037844389,-0.49999999999999983,59.99999999999999,59.99999999999999,17.0,77.0,0.0
0.0,0.8386705679454243,-0.5446390350150269,61.49999999999999,61.49999999999999,17.0,78.49999999999999,0.0
1.1102230246251565e-16,0.8090169943749475,-0.5877852522924729,63.0,63.0,17.0,80.0,0.0
1.1102230246251565e-16,0.777145961456971,-0.6293203910498372,64.5,64.5,17.0,81.5,0.0
