model,genus,degree,h0_D,h0_K_minus_D,rr_right_side,rr_residual
generic negative degree,5,-2,0,6,-6,0
generic negative degree,5,-1,0,5,-5,0
generic nonspecial degree range,5,0,0,4,-4,0
generic nonspecial degree range,5,1,0,3,-3,0
generic nonspecial degree range,5,2,0,2,-2,0
generic nonspecial degree range,5,3,0,1,-1,0
generic nonspecial degree range,5,4,0,0,0,0
generic high degree,5,5,1,0,1,0
generic high degree,5,6,2,0,2,0
generic high degree,5,7,3,0,3,0
generic high degree,5,8,4,0,4,0
generic high degree,5,9,5,0,5,0
generic high degree,5,10,6,0,6,0
generic high degree,5,11,7,0,7,0
generic high degree,5,12,8,0,8,0
generic high degree,5,13,9,0,9,0
generic high degree,5,14,10,0,10,0
trivial divisor D=0,5,0,1,5,-4,0
canonical divisor D=K,5,8,5,1,4,0
hyperelliptic pencil g^1_2,5,2,2,4,-2,0
