id,family,root_pair,equations,line_substitution_residual,plucker_relation
1,XY|ZT,"-1, -1","X=-1 Y, Z=-1 T",0,0
2,XY|ZT,"-1, -omega","X=-1 Y, Z=-omega T",0,0
3,XY|ZT,"-1, -omega^2","X=-1 Y, Z=-omega^2 T",0,0
4,XY|ZT,"-omega, -1","X=-omega Y, Z=-1 T",0,0
5,XY|ZT,"-omega, -omega","X=-omega Y, Z=-omega T",0,0
6,XY|ZT,"-omega, -omega^2","X=-omega Y, Z=-omega^2 T",0,0
7,XY|ZT,"-omega^2, -1","X=-omega^2 Y, Z=-1 T",0,0
8,XY|ZT,"-omega^2, -omega","X=-omega^2 Y, Z=-omega T",0,0
9,XY|ZT,"-omega^2, -omega^2","X=-omega^2 Y, Z=-omega^2 T",0,0
10,XZ|YT,"-1, -1","X=-1 Z, Y=-1 T",0,0
11,XZ|YT,"-1, -omega","X=-1 Z, Y=-omega T",0,0
12,XZ|YT,"-1, -omega^2","X=-1 Z, Y=-omega^2 T",0,0
13,XZ|YT,"-omega, -1","X=-omega Z, Y=-1 T",0,0
14,XZ|YT,"-omega, -omega","X=-omega Z, Y=-omega T",0,0
15,XZ|YT,"-omega, -omega^2","X=-omega Z, Y=-omega^2 T",0,0
16,XZ|YT,"-omega^2, -1","X=-omega^2 Z, Y=-1 T",0,0
17,XZ|YT,"-omega^2, -omega","X=-omega^2 Z, Y=-omega T",0,0
18,XZ|YT,"-omega^2, -omega^2","X=-omega^2 Z, Y=-omega^2 T",0,0
19,XT|YZ,"-1, -1","X=-1 T, Y=-1 Z",0,0
20,XT|YZ,"-1, -omega","X=-1 T, Y=-omega Z",0,0
21,XT|YZ,"-1, -omega^2","X=-1 T, Y=-omega^2 Z",0,0
22,XT|YZ,"-omega, -1","X=-omega T, Y=-1 Z",0,0
23,XT|YZ,"-omega, -omega","X=-omega T, Y=-omega Z",0,0
24,XT|YZ,"-omega, -omega^2","X=-omega T, Y=-omega^2 Z",0,0
25,XT|YZ,"-omega^2, -1","X=-omega^2 T, Y=-1 Z",0,0
26,XT|YZ,"-omega^2, -omega","X=-omega^2 T, Y=-omega Z",0,0
27,XT|YZ,"-omega^2, -omega^2","X=-omega^2 T, Y=-omega^2 Z",0,0
