example,metric,signature,nondegenerate,probe,square
"Euclidean R3,0","[1, 1, 1]","R^3,0",True,"(1, 2, 3)",14.0
"Euclidean R3,0","[1, 1, 1]","R^3,0",True,"(0, 1, -1)",2.0
"Minkowski R1,1","[-1, 1]","R^1,1",True,"(1, 1)",0.0
"Minkowski R1,1","[-1, 1]","R^1,1",True,"(2, 1)",-3.0
"Minkowski R1,1","[-1, 1]","R^1,1",True,"(1, 2)",3.0
"Conformal-style R4,1 diagonal","[1, 1, 1, 1, -1]","R^4,1",True,"(0, 0, 0, 1, 1)",0.0
"Conformal-style R4,1 diagonal","[1, 1, 1, 1, -1]","R^4,1",True,"(1, 2, 0, 1, 1)",5.0
Degenerate R2 plus null axis,"[1, 1, 0]","R^2,0 with 1 degenerate",False,"(1, 0, 3)",1.0
Degenerate R2 plus null axis,"[1, 1, 0]","R^2,0 with 1 degenerate",False,"(0, 0, 5)",0.0
"Balanced mixed R2,2","[1, 1, -1, -1]","R^2,2",True,"(1, 0, 1, 0)",0.0
"Balanced mixed R2,2","[1, 1, -1, -1]","R^2,2",True,"(1, 2, 0, 1)",4.0
