left,right,grade_A,grade_B,left_result_grades,right_result_grades,dot_result_grades,hestenes_result_grades
1,1,0,0,[0],[0],[0],[]
1,e1,0,1,[1],[],[1],[]
1,e2,0,1,[1],[],[1],[]
1,e3,0,1,[1],[],[1],[]
1,e1^e2,0,2,[2],[],[2],[]
1,e1^e3,0,2,[2],[],[2],[]
1,e2^e3,0,2,[2],[],[2],[]
1,e1^e2^e3,0,3,[3],[],[3],[]
e1,1,1,0,[],[1],[1],[]
e1,e1,1,1,[0],[0],[0],[0]
e1,e2,1,1,[],[],[],[]
e1,e3,1,1,[],[],[],[]
e1,e1^e2,1,2,[1],[],[1],[1]
e1,e1^e3,1,2,[1],[],[1],[1]
e1,e2^e3,1,2,[],[],[],[]
e1,e1^e2^e3,1,3,[2],[],[2],[2]
e2,1,1,0,[],[1],[1],[]
e2,e1,1,1,[],[],[],[]
e2,e2,1,1,[0],[0],[0],[0]
e2,e3,1,1,[],[],[],[]
e2,e1^e2,1,2,[1],[],[1],[1]
e2,e1^e3,1,2,[],[],[],[]
e2,e2^e3,1,2,[1],[],[1],[1]
e2,e1^e2^e3,1,3,[2],[],[2],[2]
e3,1,1,0,[],[1],[1],[]
e3,e1,1,1,[],[],[],[]
e3,e2,1,1,[],[],[],[]
e3,e3,1,1,[0],[0],[0],[0]
e3,e1^e2,1,2,[],[],[],[]
e3,e1^e3,1,2,[1],[],[1],[1]
e3,e2^e3,1,2,[1],[],[1],[1]
e3,e1^e2^e3,1,3,[2],[],[2],[2]
e1^e2,1,2,0,[],[2],[2],[]
e1^e2,e1,2,1,[],[1],[1],[1]
e1^e2,e2,2,1,[],[1],[1],[1]
e1^e2,e3,2,1,[],[],[],[]
e1^e2,e1^e2,2,2,[0],[0],[0],[0]
e1^e2,e1^e3,2,2,[],[],[],[]
e1^e2,e2^e3,2,2,[],[],[],[]
e1^e2,e1^e2^e3,2,3,[1],[],[1],[1]
e1^e3,1,2,0,[],[2],[2],[]
e1^e3,e1,2,1,[],[1],[1],[1]
e1^e3,e2,2,1,[],[],[],[]
e1^e3,e3,2,1,[],[1],[1],[1]
e1^e3,e1^e2,2,2,[],[],[],[]
e1^e3,e1^e3,2,2,[0],[0],[0],[0]
e1^e3,e2^e3,2,2,[],[],[],[]
e1^e3,e1^e2^e3,2,3,[1],[],[1],[1]
e2^e3,1,2,0,[],[2],[2],[]
e2^e3,e1,2,1,[],[],[],[]
e2^e3,e2,2,1,[],[1],[1],[1]
e2^e3,e3,2,1,[],[1],[1],[1]
e2^e3,e1^e2,2,2,[],[],[],[]
e2^e3,e1^e3,2,2,[],[],[],[]
e2^e3,e2^e3,2,2,[0],[0],[0],[0]
e2^e3,e1^e2^e3,2,3,[1],[],[1],[1]
e1^e2^e3,1,3,0,[],[3],[3],[]
e1^e2^e3,e1,3,1,[],[2],[2],[2]
e1^e2^e3,e2,3,1,[],[2],[2],[2]
e1^e2^e3,e3,3,1,[],[2],[2],[2]
e1^e2^e3,e1^e2,3,2,[],[1],[1],[1]
e1^e2^e3,e1^e3,3,2,[],[1],[1],[1]
e1^e2^e3,e2^e3,3,2,[],[1],[1],[1]
e1^e2^e3,e1^e2^e3,3,3,[0],[0],[0],[0]
